,profile
1074,"Design Director, Interior Design"
1075,Design Intern
1076,"Designer, Kitchen"
1077,Digital Designer
1078,Exhibit Designer
1079,FX Artist
1080,Fashion Designer
1081,Fashion Stylist
1082,"Fine Artist, Including Painter, Sculptor, or Illustrator"
1083,Freelance Graphic Designer
1084,Furniture Designer
1085,Graphic Artist
1086,Graphic Artist / Animator
1087,Graphic Artist / Designer
1088,Graphic Design Intern
1089,Graphic Design Specialist
1090,Graphic Designer
1091,"Graphic Designer, Commercial Art"
1092,"Graphic Designer, Web"
1093,Illustrator
1094,Image Retoucher
1095,Industrial Designer
1096,Interior Decorator
1097,Interior Designer
1098,Interior & Exterior Designer
1099,Junior Art Director
1100,Junior Graphic Designer
1101,Junior Interior Designer
1102,Layout Artist
1103,Lead Animator
1104,Lead Graphic Designer
1105,Lead Technical Artist
1106,Lead UX Designer
1107,Lighting Artist
1108,Media Supervisor
1109,Merchandise Presentation Specialist
1110,Merchandiser
1111,Merchandising Assistant
1112,Motion Graphic Designer
1113,Multi-Media Artist or Animator
1114,Multimedia Designer
1115,Photo Retoucher
1116,Photoshop Retoucher
1117,"Post Production Manager, Television, Video, or Motion Picture"
1118,Principle User Experience Designer
1119,Product Design Engineer
1120,"Product Design Engineer, Industrial"
1121,Product Design Manager
1122,Product Designer
1123,"Product Designer, Graphic Arts / Advertising"
1124,Product Developer
1125,Product Development Coordinator
1126,Product Development Engineer
1127,Product Engineer
1128,Production Artist
1129,Production Artist (Graphic Arts)
1130,Production Designer
1131,"Project Manager, Interior Design"
1132,Retail Merchandiser
1133,Retail Store Designer
1134,Retoucher
1135,Senior Animator
1136,"Senior Animator, Character"
1137,Senior Fashion Consultant
1138,Senior Fashion Designer
1139,Senior Graphic Designer
1140,Senior Industrial Designer
1141,Senior Interior Designer
1142,Senior Merchandiser
1143,Senior Product Designer
1144,Senior UX Designer
1145,Senior User Experience Designer
1146,Senior VFX Artist
1147,Sr. Art Director
1148,Story Board Artist
1149,Tattoo Artist
1150,Technical Artist
1151,Textile Designer
1152,"Tool Designer, Industrial"
1153,UX Designer
1154,UX Director
1155,UX Manager
1156,User Experience Designer
1157,User Experience Director
1158,User Experience Manager
1159,VFX Artist
1160,Video Game Artist
1161,Visual Designer
1162,Visual Effects Artist
1163,Visual Effects Supervisor
1164,Visual Merchandiser
1165,Visual Merchandising Manager
1166,Web Designer
1167,Graphic Designer
1168,UX Designer
1169,Web Designer
1170,Interior Designer
1171,Senior Graphic Designer
1172,3d Artist
1173,3D Artist
1174,Fashion Designer
1175,Graphic Artist / Designer
1176,User Experience Designer
1177,Product Designer
1178,"Animator, 3D"
1179,Senior UX Designer
1180,Merchandiser
1181,Product Engineer
1182,Creative Director
1183,VFX Artist
1184,Motion Graphic Designer
1185,Product Development Engineer
1186,Senior Interior Designer
1187,Art Director
1188,Animator
1189,Senior User Experience Designer
1190,Visual Designer
1191,Product Design Engineer
1192,Lead UX Designer
1193,Industrial Designer
1194,Textile Designer
1195,Junior Graphic Designer
1196,Visual Merchandiser
1197,Illustrator
1198,Product Developer
1199,Senior Merchandiser
1200,Compositor
1201,"Graphic Designer, Web"
1202,"Project Manager, Interior Design"
1203,Assistant Fashion Designer
1204,Senior Product Designer
1205,"Animator, 2D"
1206,Fashion Stylist
1207,Junior Interior Designer
1208,Animation Designer
1209,Sr. Art Director
1210,"Fine Artist, Including Painter, Sculptor, or Illustrator"
1211,Digital Designer
1212,Photoshop Retoucher
1213,UX Manager
1214,Senior Fashion Designer
1215,Graphic Artist / Animator
1216,Retail Merchandiser
1217,Freelance Graphic Designer
1218,Concept Artist
1219,Graphic Artist
1220,User Experience Manager
1221,"Product Design Engineer, Industrial"
1222,DEVELOPMENT ENGINEER
1223,Assistant Interior Designer
1224,Multimedia Designer
1225,"Tool Designer, Industrial"
1226,FX Artist
1227,Product Design Manager
1228,"Animator, Flash"
1229,3D Character Artist
1230,Creative Services Manager
1231,Lead Graphic Designer
1232,"Post Production Manager, Television, Video, or Motion Picture"
1233,Senior Fashion Consultant
1234,Interior & Exterior Designer
1235,Lighting Artist
1236,Technical Artist
1237,Production Artist
1238,Senior Animator
1239,Layout Artist
1240,"Product Designer, Graphic Arts / Advertising"
1241,Senior Industrial Designer
1242,Multi-Media Artist or Animator
1243,3D Environment Artist
1244,Tattoo Artist
1245,Video Game Artist
1246,Production Artist (Graphic Arts)
1247,Senior VFX Artist
1248,Visual Merchandising Manager
1249,"Design Director, Interior Design"
1250,Furniture Designer
1251,Junior Art Director
1252,Product Development Coordinator
1253,Story Board Artist
1254,"Designer, Kitchen"
1255,Graphic Design Specialist
1256,Animation Director
1257,Design Intern
1258,Assistant Art Director
1259,Exhibit Designer
1260,Graphic Design Intern
1261,Image Retoucher
1262,Media Supervisor
1263,Visual Effects Artist
1264,"Graphic Designer, Commercial Art"
1265,Lead Animator
1266,3D Lighting Artist
1267,Appeals and Grievances Investigator
1268,Application Support Specialist
1269,Assistant Buyer
1270,Assistant Manager
1271,"Assistant Manager, Customer Service"
1272,"Assistant Manager, Property Management"
1273,"Assistant Manager, Wholesale"
1274,Assistant Merchandiser
1275,Assistant Property Manager
1276,"Assistant Vice President (AVP), Commercial Lending"
1277,"Assistant Vice President (AVP), Property Management"
1278,Associate Business Analyst
1279,Associate Buyer
1280,Associate Merchandiser
1281,"Associate Partner, Consulting Services"
1282,Associate Project Manager (Unspecified Type / General)
1283,Body Shop Manager
1284,Business Analyst (Unspecified Type)
1285,Business Consultant
1286,Business Continuity Coordinator
1287,Business Continuity Manager
1288,Business Continuity and Business Planning Analyst
1289,Business Development Assistant
1290,Business Development Consultant
1291,Business Development Coordinator
1292,Business Intelligence Consultant
1293,Business Intelligence Manager
1294,"Business Manager, Logistics / Inventory / Distribution / Transportation"
1295,Business Operations Analyst
1296,Business Process Analyst
1297,Business Process / Management Consultant
1298,Business Process Manager
1299,Business Relationship Manager
1300,Business Solution Consultant
1301,Business Solutions Director
1302,Business Support Manager
1303,Business Unit Controller
1304,Buyer
1305,"Buyer, Industrial Components"
1306,"Buyer, Technical Products"
1307,Call Center Manager
1308,Change Management Consultant
1309,Chief Procurement Officer
1310,Chief Safety Officer (CSO)
1311,Claims Adjuster
1312,Claims Adjuster / Examiner / Investigator
1313,Claims Manager
1314,"Claims Manager, Insurance"
1315,Claims Representative
1316,Client Service Executive
1317,Client Services Director
1318,Commercial Analyst
1319,Commercial Manager
1320,Commissioning Manager
1321,Commissions Analyst
1322,Commodity Manager
1323,Community Association Manager
1324,Compliance Associate
1325,Compliance Coordinator
1326,"Compliance Manager, IT Security Products"
1327,Conference Manager
1328,Conference Producer (but not Event Planning)
1329,Construction Estimator
1330,"Consultant, Business Process / Management"
1331,"Consultant, Environmental Engineering"
1332,"Consultant, Grant Writing/Training"
1333,"Consultant, Health Insurance"
1334,"Consultant, Telecommunications"
1335,Consulting Analyst
1336,Consulting Director
1337,Consulting Manager
1338,"Contracts Administrator, Construction"
1339,Contracts Manager
1340,Corporate Relations Manager
1341,Cost Analyst
1342,Cost Engineer
1343,Cost Estimator
1344,Customer Relationship Management (CRM) Business Analyst
1345,Customer Relationship Management (CRM) Consultant
1346,Customer Relationship Management (CRM) Specialist
1347,Customer Service Engineer
1348,Customs Broker
1349,Customs Compliance Specialist
1350,Customs Document Clerk
1351,Cyber Security Engineer
1352,Data Analysis Manager
1353,Design Manager
1354,"Director, Corporate Development"
1355,Director of Events
1356,Director of Purchasing
1357,Director of eCommerce
1358,Disaster Recovery Coordinator
1359,Disaster Recovery & Business Continuity Specialist
1360,Distribution Manager
1361,Document Control Manager
1362,ERP Consultant
1363,ERP Manager
1364,Education Program Coordinator
1365,Electrical Estimator
1366,Emergency Management Specialist
1367,Employee Communications Consultant
1368,Energy Auditor
1369,Energy Consultant
1370,Energy Manager
1371,Environmental Health & Safety (EHS) Director
1372,Environmental Health & Safety (EHS) Supervisor
1373,Estate Manager
1374,Estimating Engineer
1375,"Estimator, Construction"
1376,Event Coordinator
1377,Event Manager
1378,Event Planner
1379,Export Markets Development Manager
1380,Facility Coordinator
1381,Facility Security Officer (FSO)
1382,Fashion Buyer
1383,Financial Reporting Analyst
1384,Foreign Trade Manager
1385,Fund Accounting Manager
1386,Global Business Continuity Manager
1387,Global Program Director
1388,Global Sourcing Manager
1389,Government Program Manager
1390,Head of Business Continuity Planning
1391,Head of Medical Laboratory
1392,Hedge Fund Manager
1393,Implementation Analyst
1394,Implementation Consultant
1395,"Implementation Consultant, IT"
1396,Import Coordinator
1397,Import/Export Agent
1398,Import/Export Analyst
1399,Import/Export Clerk
1400,Import Manager
1401,Incident Manager
1402,Information Security Analyst
1403,Information Security Manager
1404,Information Security Officer
1405,Infrastructure Project Manager
1406,Instructional Design Manager
1407,Insurance Claims Adjuster
1408,Insurance Claims Analyst
1409,Insurance Claims Representative
1410,Insurance Claims Specialist
1411,Intellectual Property (IP) Manager
1412,International Sourcing Manager
1413,International Trade Compliance Manager
1414,International Trade Specialist
1415,Inventory / Purchasing Manager
1416,Investment Manager
1417,Investor Relation Officer
1418,Junior Business Analyst (Unspecified Type)
1419,Junior Buyer
1420,Junior Estimator
1421,Junior Project Manager (Unspecified Type / General)
1422,Knowledge Analyst
1423,Land Acquisition Analyst
1424,Lead Business Analyst
1425,Lead Generator
1426,Learning and Development Specialist
1427,Lease Administrator
1428,Lease Analyst
1429,Leasing Manager/Property
1430,Legislative Advocate
1431,Logistics Director
1432,Logistics Manager
1433,Logistics Planning Manager
1434,Logistics Program Manager
1435,Loss Prevention Manager
1436,"Maintenance, Repair and Operations (MRO) Buyer"
1437,Mall Manager
1438,Management Analyst
1439,Management Consultant
1440,"Manager, Change Management"
1441,"Manager, Government Affairs"
1442,Manager Leasing
1443,Manager Trainee
1444,Managing Consultant
1445,Managing Director
1446,"Managing Director, Consulting"
1447,Managing Quantity Surveyor
1448,Market Development Manager
1449,Materials Manager
1450,Materials Manager / Coordinator
1451,Medical Affairs Head
1452,Medical Claims Analyst
1453,Merchandise Manager
1454,Merchandise Planner
1455,Merchandise Planning Manager
1456,Merchandising Manager
1457,Modeling Leader
1458,Operations Support Coordinator
1459,Organizational Development Consultant
1460,Organizational Development Specialist
1461,Organizational Effectiveness Specialist
1462,Outsourcing Vendor Manager
1463,Personal Banking Officer
1464,Planning Analyst
1465,"Planning Manager, Gas/Electric/Utilities"
1466,Policy Analyst
1467,Pre Sales Technical Consultant
1468,Pricing Specialist
1469,Private Equity Fund Manager
1470,Procurement Agent
1471,Procurement Director
1472,Procurement Manager
1473,Procurement Officer
1474,Procurement Specialist
1475,Product Development Specialist
1476,Product Development Supervisor
1477,Product Director
1478,"Product Manager, Healthcare"
1479,Program Analyst
1480,"Program Manager, Communications Systems"
1481,"Program Manager, Electronics"
1482,"Program Officer, Foundation"
1483,Program Project Manager
1484,Project Analyst
1485,Project Control Analyst
1486,Project Control Manager
1487,Project Control Specialist
1488,Project Developer
1489,"Project Director, (Unspecified Type / General)"
1490,"Project Leader, General"
1491,Project Management Consultant
1492,Project Management Intern
1493,Project Management Manager
1494,Project Management Officer
1495,"Project Manager, Advertising"
1496,"Project Manager, Automation Validation"
1497,"Project Manager, Pharmaceuticals"
1498,"Project Manager, (Unspecified Type / General)"
1499,Project Quantity Surveyor
1500,Project Supervisor
1501,Property Manager
1502,"Property, Real Estate, or Community Association Manager"
1503,Proposal Coordinator
1504,Public Policy Analyst
1505,Publishing Manager
1506,Purchaser
1507,"Purchasing Agent (but not Wholesale, Retail, or Farm Products)"
1508,Purchasing Analyst
1509,Purchasing Coordinator
1510,Purchasing Director
1511,Purchasing / Inventory Coordinator
1512,Purchasing Manager
1513,Purchasing Officer
1514,Purchasing Specialist
1515,Purchasing Supervisor
1516,Quality Assurance Coordinator
1517,"Quality Control Manager, Printing/Publishing"
1518,Quantity Surveyor
1519,Real Estate Development Manager
1520,Real Estate Leasing Manager
1521,Real Estate Manager
1522,Real Estate Planning Manager
1523,Real Estate / Property Consultant
1524,Regional Service Manager
1525,Regulatory Affairs Associate
1526,Regulatory Affairs Associate Director
1527,Regulatory Affairs Manager
1528,Regulatory Affairs Specialist
1529,Regulatory Analyst
1530,Regulatory Coordinator
1531,Regulatory Specialist
1532,Reporting Analyst
1533,Residential Property Manager
1534,Retail Buyer
1535,SAP Business Analyst
1536,SAP Testing Analyst
1537,Sample Coordinator
1538,Sarbanes-Oxley (SOX) Auditor
1539,Search Engine Optimization (SEO) Team Manager
1540,Security Analyst
1541,Security Director
1542,"Security Director (Physical, Personnel, Grounds, et al.)"
1543,Security Manager
1544,"Security Manager, IT"
1545,Security Supervisor
1546,Senior Business Analyst
1547,Senior Business Consultant
1548,Senior Business Continuity Manager
1549,Senior Business Development Analyst
1550,Senior Buyer
1551,Senior Category Manager
1552,Senior Claims Adjuster
1553,Senior Compliance Specialist
1554,"Senior Consultant, Energy"
1555,Senior Corporate Strategy Manager
1556,Senior Estimator
1557,Senior Event Manager
1558,Senior Learning and Development Specialist
1559,Senior Management Consultant
1560,"Senior Manager, Mergers & Acquisitions"
1561,Senior Portfolio Manager
1562,Senior Procurement Manager
1563,Senior Product Manager
1564,Senior Property Manager
1565,Senior Quantity Surveyor
1566,Senior Regulatory Affairs Specialist
1567,Senior SAP Consultant
1568,Senior Sales Operations Analyst
1569,Senior Strategy Analyst
1570,Senior Strategy Manager
1571,Senior Supply Chain Manager
1572,Senior Technical Analyst
1573,Service Center Manager
1574,Service Delivery Director
1575,Service Manager (Operations Research)
1576,Shopping Centre Manager
1577,"Site Acquisition / Leasing Manager, Telecommunications"
1578,Social Media Coordinator
1579,Sourcing Associate
1580,"Sourcing Team Lead, Computer / Electronics"
1581,Special Events Coordinator
1582,Special Events Manager
1583,Sr. Strategic Sourcing Manager
1584,Sr. Vendor Management Associate
1585,Storage Engineer
1586,Strategic Planning Manager
1587,Strategic Sourcing Manager
1588,Strategy Analyst
1589,Strategy Associate
1590,Strategy Consultant
1591,Strategy Manager
1592,Supply Chain Coordinator
1593,Supply Chain Manager
1594,Sustainability Manager
1595,Technical Advisor
1596,Technical Analyst
1597,Technical Design Manager
1598,Technical Operations Manager
1599,Technical Service Department Manager
1600,Technical Specialist
1601,Travel Agency Manager
1602,"Travel Desk Manager, Corporate"
1603,Used Car Manager
1604,User Acceptance Tester
1605,User Acceptance Testing Specialist
1606,User Acceptance Testing (UAT) Analyst
1607,Utilities Manager
1608,Vendor Management Associate
1609,Vendor Manager
1610,"Vice President (VP), Program Management"
1611,"Vice President (VP), Technical Operations"
1612,Wedding Planner
1613,"Wholesale and Retail Buyer, (except Farm Products)"
1614,Wind Farm Site Supervisor
1615,Workforce Management Analyst
1616,Apprentice Electrician
1617,"Apprentice Pipe Fitter, 4th Year"
1618,Architectural Job Captain
1619,Asphalt Paver Operator
1620,Assistant Driller
1621,"Assistant Project Manager, Construction"
1622,Boilermaker Pipe Fitter
1623,Builder
1624,Building Inspector
1625,Carpenter
1626,Carpenter Foreman
1627,Carpenter Helper
1628,Carpenter Supervisor
1629,Coal Mine Worker
1630,Concrete Foreman
1631,Construction Contractor
1632,Construction Coordinator
1633,Construction Foreman
1634,Construction Helper
1635,Construction Inspector
1636,Construction Laborer
1637,Construction Manager
1638,Construction Project Leader
1639,Construction Project Manager
1640,Construction Safety Officer
1641,Construction Scheduler
1642,Construction Superintendent
1643,"Construction Superintendent, Commercial"
1644,Construction Supervisor
1645,Construction Worker
1646,Construction and Building Inspector
1647,Director of Construction
1648,Drafting Supervisor
1649,Electrical Apprentice
1650,Electrical Foreman
1651,Electrical Inspector
1652,Electrical Maintenance Engineer
1653,Electrical Project Manager
1654,Electrician
1655,Electrician Assistant
1656,Electrician - Certified
1657,Electrician Helper
1658,Elevator Installer / Repairer
1659,Elevator Mechanic
1660,Estimating Manager
1661,Finish Carpenter
1662,Finishing Foreman
1663,Floor Layer
1664,Gas Fitter
1665,General Contractor
1666,Grader Operator
1667,Grinding Operator
1668,"Helper--Pipelayer, Plumber, Pipefitter, or Steamfitter"
1669,House Painter
1670,Industrial Electrician
1671,Lead Carpenter
1672,Maintenance Electrician
1673,Maintenance Mechanic Elevators
1674,Mason
1675,Master Carpenter
1676,Master Electrician
1677,Mine Foreman
1678,Mining Superintendent
1679,Oil Well Driller
1680,Operating Engineer
1681,Painter
1682,"Painter, Construction and Maintenance"
1683,Painter Helper
1684,Painting Supervisor
1685,Pipefitter
1686,Plumber
1687,Plumbing Contractor
1688,Plumbing Foreman
1689,Plumbing Supervisor
1690,"Project Manager, Construction"
1691,"Project Supervisor, Construction"
1692,Reinforcing Iron or Rebar Worker
1693,Roustabout
1694,Senior Building Surveyor
1695,Senior Construction Manager
1696,"Senior Project Administrator, General"
1697,"Senior Project Manager, Construction"
1698,Sheet Metal Worker
1699,Site Supervising Technical Operator
1700,Solar Installation Electrician
1701,Sprinkler Fitter
1702,Structural Iron / Steel Worker
1703,Structural Steel Erector
1704,Structural Steel Worker
1705,Tile or Marble Setter
1706,Academic Coordinator
1707,Academic Dean
1708,Academic Director
1709,Adjunct Professor
1710,Admissions Manager
1711,Admissions Officer
1712,Archivist
1713,"Art, Drama, or Music Teacher, Postsecondary"
1714,Art Teacher
1715,Assessment and Education Researcher
1716,Assistant Head of School
1717,"Assistant Lecturer, Postsecondary / Higher Education"
1718,Assistant Librarian
1719,Assistant Principal
1720,"Assistant Professor, Postsecondary / Higher Education"
1721,Assistant Professor of Law
1722,Assistant Professor of Management
1723,Assistant Professor of Marketing
1724,Assistant Professor of Mathematics
1725,Assistant Registrar
1726,"Associate Professor, Postsecondary / Higher Education"
1727,Associate Professor of Electrical and Computer Engineering
1728,Bachelor of Social Work (BSW) Program Coordinator
1729,"Biological Science Teacher, Postsecondary"
1730,Campus Director
1731,Catalog Specialist
1732,"Chemistry Teacher, Postsecondary"
1733,Child Care Center Director
1734,Clinical Educator
1735,"Computer Science Teacher, Postsecondary"
1736,Contracted Faculty
1737,Curator
1738,"Curator, Art Gallery"
1739,Curriculum Coordinator
1740,Curriculum Developer
1741,Curriculum Manager
1742,Dance Instructor
1743,Dance Teacher
1744,Daycare Teacher
1745,Dean of Graduate Studies
1746,Dean of Students
1747,Department Administrator
1748,Department Chair (College / University)
1749,"Director, Preschool"
1750,Director of Special Education
1751,Driving Instructor
1752,Early Childhood Educator (ECE)
1753,"Economics Teacher, Postsecondary"
1754,"Education Administrator, Elementary and Secondary School"
1755,"Education Administrator, Preschool or Child Care Center Program"
1756,Education Coordinator
1757,Education Director
1758,Education Facilitator
1759,Education Manager
1760,Education Program Manager
1761,Educational Resource Coordinator
1762,Educational Specialist
1763,Elementary School Principal
1764,Elementary School Teacher
1765,"English Language / Literature Teacher, Postsecondary"
1766,English Teacher/Tutor (Vocational)
1767,English as a Second Language (ESL) Teacher
1768,English for Speakers of Other Languages (ESOL) Instructor
1769,English for Speakers of Other Languages (ESOL) Teacher
1770,Flight Instructor
1771,"Foreign Language / Literature Teacher, Postsecondary"
1772,Graduate Assistant
1773,Graduate Research Assistant (GRA)
1774,Graduate Teaching Assistant
1775,Head Librarian
1776,Head Teacher
1777,High School Principal
1778,High School Teacher
1779,"History Teacher, Postsecondary"
1780,Instructional Designer
1781,Instructional Designer / Trainer
1782,Instructional Designer (Training & Development)
1783,"Instructor, Postsecondary / Higher Education"
1784,Kindergarten Teacher (but not Special Education)
1785,Learning Facilitator
1786,"Lecturer, Postsecondary / Higher Education"
1787,Lecturer / Speaker
1788,Librarian
1789,"Mathematical Science Teacher, Postsecondary"
1790,Mathematics Teacher
1791,Middle School Math/Science Teacher
1792,Middle School Teacher
1793,Middle School Teacher (except Special and Vocational Education)
1794,Multimedia Production Coordinator
1795,Multimedia Specialist
1796,Nurse Educator
1797,Nursing Instructor
1798,Paraeducator (K-12)
1799,Physical Education Teacher
1800,"Physics Teacher, Postsecondary"
1801,Piano Teacher
1802,Pre-Kindergarten Teacher
1803,"Preschool Teacher, (but not Special Education)"
1804,Primary School Principal
1805,Primary School Teacher
1806,Principal / Headmaster
1807,"Professor, Postsecondary / Higher Education"
1808,Professor of Chemistry
1809,Professor of English
1810,Professor of Law
1811,Professor of Mathematics
1812,Professor of Physics
1813,"Program Management Director, Education"
1814,"Psychology Teacher, Postsecondary"
1815,"Registrar, College Or University"
1816,Research Assistant Professor
1817,Research and Teaching Assistant
1818,Resource Teacher
1819,School Librarian
1820,Secondary School Principal
1821,Secondary School Teacher
1822,"Secondary School Teacher, (but not Special and Vocational Education)"
1823,"Senior Lecturer, Postsecondary / Higher Education"
1824,"Site Coordinator, Education"
1825,Special Education Paraprofessional
1826,"Special Education Teacher, Middle School"
1827,"Special Education Teacher, Preschool, Kindergarten, or Elementary School"
1828,"Special Education Teacher, Secondary School"
1829,Sr. Instructional Designer (Training & Development)
1830,"Substitute Teacher, K-12"
1831,Teacher
1832,Teacher Aide
1833,Teacher Assistant
1834,Teacher College/University (Unknown Type)
1835,Teacher Driving
1836,Teaching Assistant (TA)
1837,Toddler Teacher
1838,Tutor
1839,Undergraduate Teaching Assistant
1840,"Vice Principal, High School"
1841,"Vocational Education Teacher, Secondary School"
1842,Vocational Training Teacher
1843,Apprentice Cook
1844,Assistant Cook
1845,Assistant Food and Beverage Manager
1846,"Assistant Manager, Fast Food"
1847,Assistant Restaurant Manager
1848,Assistant Restaurant Manager - Casual Dining
1849,Banquet Captain
1850,Banquet Manager
1851,Banquet Steward
1852,Bar Manager
1853,Bar Tender
1854,Barista
1855,Bartender
1856,"Bartender, Hotel"
1857,Beverage Manager
1858,Cafe Manager
1859,Catering Executive
1860,Catering Manager
1861,Catering Sales Manager
1862,Catering Supervisor
1863,Chef Assistant
1864,"Chef, Hotel"
1865,Chef Manager
1866,Chef de Cuisine
1867,Chef de Partie
1868,"Cook, Fast Food"
1869,"Cook, Institution and Cafeteria"
1870,"Cook, Restaurant"
1871,Corporate Chef
1872,Dishwasher
1873,Executive Chef
1874,"Executive Chef, Hotel"
1875,Executive Sous Chef
1876,Floor Manager
1877,"Floor Manager, Hotel/Restaurant"
1878,Food And Beverage Attendant
1879,Food And Beverage Supervisor
1880,Food Server
1881,Food Service Manager
1882,Food Service Supervisor
1883,Food Service Worker
1884,Food and Beverage Director
1885,Food and Beverage Manager
1886,"Front of House Manager, Restaurant"
1887,"General Manager, Food Service"
1888,"General Manager, Restaurant"
1889,Head Chef
1890,Head Chef/Cook
1891,Host/Hostess
1892,"Host / Hostess of Restaurant, Lounge, or Coffee Shop"
1893,Hotel Room Service Attendant
1894,Kitchen Chef
1895,Kitchen Helper / Aide
1896,Kitchen Manager
1897,Kitchen Steward / Stewardess
1898,Kitchen Supervisor
1899,Kitchen Worker
1900,Line Cook
1901,Pantry Chef / Garde Manger
1902,Pantry Worker
1903,Pastry Cook
1904,Personal Chef
1905,Pizza Cook / Chef / Maker
1906,Pizza Server / Worker / Cutter
1907,Pizza Store Manager
1908,Prep Cook
1909,Restaurant Assistant Manager
1910,Restaurant Host/Hostess
1911,Restaurant Manager
1912,Restaurant Server
1913,Restaurant Supervisor
1914,Senior Sous Chef
1915,Server
1916,Sommelier
1917,Sous Chef
1918,Steward/Dishwasher
1919,Waiter/Waitress
1920,Waiter/Waitress Captain
1921,Waiter/Waitress Counter
1922,"Waiter/Waitress, Hotel"
1923,Waiters/Waitress' Assistant
1924,Wine Steward/Stewardess
1925,"Wine Steward/Stewardess, Hotel"
1926,Ambassador
1927,"Area Manager, Retail"
1928,Area Operations Manager
1929,Assistant Business Manager
1930,"Assistant Director, Non-Profit Organization"
1931,Assistant General Manager (AGM)
1932,"Assistant Manager, Hospital"
1933,Assistant Operations Manager
1934,Assistant Plant Manager/Operations
1935,"Assistant Vice President (AVP), Regional Director"
1936,"Assistant Vice President (VP), Sarbanes-Oxley (SOX) Audit"
1937,Associate - Architectural Design Firm
1938,"Associate Director, Non-Profit Organization"
1939,"Associate Vice President (AVP), Financial Operations"
1940,Associate Vice President for Development
1941,Branch Manager - Automotive Dealership
1942,"Branch Manager, Staffing Firm"
1943,"Branch Manager, Wholesale Distributor"
1944,Business Operations Manager
1945,Business Unit Manager
1946,Call Center Director
1947,Chairman
1948,Chief Administrative Officer
1949,Chief Administrative Officer (CAO)
1950,Chief Audit Executive
1951,Chief Business officer
1952,Chief Compliance Officer
1953,Chief Creative Officer
1954,Chief Development Officer (CDO)
1955,Chief Executive Officer (CEO)
1956,"Chief Executive Officer (CEO), Non-Profit Organization"
1957,Chief Financial Officer (CFO)
1958,Chief Human Resources Officer (CHRO)
1959,Chief Information Officer (CIO)
1960,Chief Information Security Officer
1961,Chief Investment Officer (CIO)
1962,Chief Legal Officer
1963,Chief Marketing Officer (CMO)
1964,Chief Medical Officer (CMO)
1965,Chief Nursing Officer (CNO)
1966,Chief Operating Officer (COO)
1967,"Chief Operating Officer, Non-Profit Organization"
1968,Chief Operations Officer (COO)
1969,Chief People Officer
1970,Chief Product Officer (CPO)
1971,Chief Revenue Officer
1972,Chief Risk Officer (CRO)
1973,Chief Scientific Officer (CSO)
1974,Chief Security Officer (CSO)
1975,Chief Strategy Officer
1976,Chief Technology Officer (CTO)
1977,City Manager
1978,Clinical Operations Manager
1979,Club General Manager
1980,Continuous Improvement Manager
1981,Corporate Legal Director
1982,Corporate Legal Manager
1983,Country Manager
1984,"Country Manager, General Operations"
1985,Customer Relationship Management (CRM) Director
1986,Customer Relationship Management (CRM) Manager
1987,Customer Relationship Management (CRM) Supervisor
1988,"Department Head, Film/Video Post-Production"
1989,"Deputy Director, Civil Service"
1990,"Deputy Executive Director, Non-Profit Organization"
1991,Deputy General Manager
1992,"Development Manager, Corporate"
1993,Diplomat
1994,"Director, Business Management & Analysis"
1995,"Director, Business Operations"
1996,"Director, Clinical Data Management"
1997,"Director, Compensation & Benefits"
1998,"Director, Customer Service"
1999,"Director, Distribution"
2000,"Director, Financial Planning & Analysis"
2001,"Director, Operations and Administration"
2002,"Director, Product Development"
2003,"Director, Risk Management / Risk Control"
2004,"Director, Strategic Sourcing"
2005,"Director, Supply Chain Management"
2006,Director of Operations
2007,Director of Program Management
2008,"Director of Program Management, Business Process"
2009,Director of Revenue Management
2010,Director of Strategic Planning
2011,Director of Strategy
2012,District Operations Manager
2013,Division General Manager
2014,Division Operations Manager
2015,"Divisional Vice President, General Manager"
2016,Employment Agency Manager
2017,Engagement Manager
2018,Executive Creative Director
2019,Executive Director
2020,"Executive Director, Non-Profit Organization"
2021,"Executive Vice President (EVP), Marketing"
2022,Facilities Coordinator
2023,Facilities Director
2024,Facilities Manager
2025,Field Marketing Manager
2026,Field Operations Manager
2027,Fitness Center Manager
2028,General Manager
2029,"General Manager, Product Development Center"
2030,"General Manager, Regional"
2031,General / Operations Manager
2032,Government Affairs Director
2033,Group General Manager
2034,"Head of Department, Civil Service"
2035,Human Resources Senior Vice President (SVP)
2036,International Operations Manager
2037,Machine Shop Manager
2038,Maintenance and Engineering Manager
2039,"Manager, Engagement (Client Services)"
2040,National Facilities Manager
2041,Online Affiliate Marketing Manager
2042,Operations Administrator
2043,Operations Coordinator (Unspecified Type)
2044,Operations Director
2045,Operations Manager
2046,"Operations Manager, Banking"
2047,"Operations Manager, Retail"
2048,"Operations Manager, Travel Agency"
2049,Operations Officer
2050,Operations Supervisor
2051,Operations Support Manager
2052,Owner / Operator
2053,"Owner / Operator, Restaurant"
2054,Partner - Accounting Firm
2055,"Partner - Accounting Firm, Tax"
2056,Performance Manager
2057,President
2058,"President, COO"
2059,President and CEO
2060,Product Development Director
2061,Program Management Director
2062,"Program Manager, Non-Profit Organization"
2063,Program Manager (Unspecified Type / General)
2064,"Project Manager, Operations"
2065,Regional Business Development Manager
2066,Regional Facilities Manager
2067,"Regional Manager, Loss Prevention"
2068,"Regional Manager, Services Company"
2069,Regional Operations Director
